run,model,weight
run1,nt,0.035167128
run1,nt,-0.0020282269
run1,nt,0.026786447
run1,nt,-0.015088168
run1,nt,0.04622055
run1,nt,-0.008741166
run1,nt,0.018263705
run1,nt,-0.0061577978
run1,nt,-0.004028869
run1,nt,-0.005852908
run1,nt,0.027476251
run1,nt,-0.015261998
run1,nt,0.007199463
run1,nt,-0.0015349276
run1,nt,0.03167437
run1,nt,-0.05644258
run1,nt,0.033032116
run1,nt,0.042561937
run1,nt,0.00032487093
run1,nt,-0.028182652
run1,nt,-0.023092827
run1,nt,-0.011988304
run1,nt,0.03474274
run1,nt,0.0011282638
run1,nt,0.028286412
run1,nt,-0.0026618133
run1,nt,-0.018077327
run1,nt,0.003384443
run1,nt,-0.0009928248
run1,nt,0.047247104
run1,nt,0.00056697876
run1,nt,0.005363146
run1,nt,0.012862593
run1,nt,0.016193744
run1,nt,0.09829819
run1,nt,-0.014356082
run1,nt,0.05528535
run1,nt,0.0017993101
run1,nt,0.015001528
run1,nt,-0.017997017
run1,nt,0.0035915207
run1,nt,-0.018201265
run1,nt,0.051229358
run1,nt,-0.024494883
run1,nt,-7.41E-03
run1,nt,-0.0021928898
run1,nt,-0.013776597
run1,nt,-0.006751242
run1,nt,0.06639051
run1,nt,0.0011037234
run1,nt,-0.00066269166
run1,nt,-0.041594073
run1,nt,-0.02358461
run1,nt,-0.010385498
run1,nt,0.031084035
run1,nt,0.00039279112
run1,nt,0.006713098
run1,nt,-0.0015648843
run1,nt,0.03553609
run1,nt,0.04471647
run1,nt,0.0016300587
run1,nt,0.06450637
run1,nt,0.003962216
run1,nt,-0.018613307
run1,nt,-0.01380621
run1,nt,0.053196833
run1,nt,0.112208754
run1,nt,-0.03021224
run1,nt,0.031615622
run1,nt,0.0004466758
run1,nt,-0.027381971
run1,nt,-0.023184292
run1,nt,-0.0050018206
run1,nt,-0.003858135
run1,nt,0.057162452
run1,nt,-0.0050927675
run1,nt,0.0028749949
run1,nt,0.014523607
run1,nt,-0.00713861
run1,nt,-0.0025631431
run1,nt,0.06191535
run1,nt,0.005695535
run1,nt,0.01821167
