run,model,weight
run3,model_asd,-0.010598484
run3,model_asd,-0.005941225
run3,model_asd,0.001784958
run3,model_asd,-0.013032517
run3,model_asd,-0.010630679
run3,model_asd,0.014109193
run3,model_asd,-0.003030883
run3,model_asd,-0.000392521
run3,model_asd,0.002807109
run3,model_asd,-0.000815634
run3,model_asd,0.01721556
run3,model_asd,0.009709762
run3,model_asd,0.024744993
run3,model_asd,0.005448554
run3,model_asd,-0.002101288
run3,model_asd,0.00780549
run3,model_asd,0.005412574
run3,model_asd,-0.010097328
run3,model_asd,0.009163491
run3,model_asd,0.012167051
run3,model_asd,0.001925023
run3,model_asd,-0.004462793
run3,model_asd,0.018028632
run3,model_asd,0.01329988
run3,model_asd,-0.010404305
run3,model_asd,-0.00665838
run3,model_asd,-0.002708628
run3,model_asd,-9.42E-06
run3,model_asd,-0.005103487
run3,model_asd,-0.00568434
run3,model_asd,0.004505682
run3,model_asd,-0.004773323
run3,model_asd,-0.008964594
run3,model_asd,-0.012462656
run3,model_asd,-0.002713169
run3,model_asd,0.014593829
run3,model_asd,0.01422007
run3,model_asd,-0.007401297
run3,model_asd,0.006403791
run3,model_asd,-0.013687968
run3,model_asd,0.009008207
run3,model_asd,0.000164641
run3,model_asd,0.019460011
run3,model_asd,0.004416743
run3,model_asd,-0.002438146
run3,model_asd,0.010381651
run3,model_asd,0.001485456
run3,model_asd,0.008021645
run3,model_asd,-0.009195398
run3,model_asd,-0.003800093
run3,model_asd,-0.004298647
run3,model_asd,0.008319985
run3,model_asd,-0.007513402
run3,model_asd,0.009372336
run3,model_asd,-0.01321268
run3,model_asd,0.015372857
run3,model_asd,-0.006905024
run3,model_asd,-0.003566217
run3,model_asd,-0.007097055
run3,model_asd,0.005746912
run3,model_asd,0.005565143
run3,model_asd,0.013804757
run4,model_asd,0.00232841
run4,model_asd,-0.007851942
run4,model_asd,-0.014018952
run4,model_asd,-0.003023275
run4,model_asd,0.00992445
run4,model_asd,0.006607025
run4,model_asd,-0.001068978
run4,model_asd,0.010497724
run4,model_asd,-0.004794295
run4,model_asd,-0.006841274
run4,model_asd,-0.018308768
run4,model_asd,0.023609705
run4,model_asd,0.004970924
run4,model_asd,-0.027768394
run4,model_asd,0.019210627
run4,model_asd,-0.0044775
run4,model_asd,0.0089808
run4,model_asd,0.018306458
run4,model_asd,-0.013791751
run4,model_asd,-0.014407005
run4,model_asd,-0.011285116
run4,model_asd,-0.001816002
run4,model_asd,-0.012904379
run4,model_asd,0.020930672
run4,model_asd,-0.004824739
run4,model_asd,0.021820439
run4,model_asd,-0.012426193
run4,model_asd,-0.005748486
run4,model_asd,-0.016467491
run4,model_asd,-0.004806201
run4,model_asd,-0.004154149
run4,model_asd,-0.000570598
run4,model_asd,0.007946761
run4,model_asd,-0.005033769
run4,model_asd,0.002900629
run4,model_asd,0.011311847
run4,model_asd,0.0374728
run4,model_asd,0.013586412
run4,model_asd,-0.005758725
run4,model_asd,0.026550682
run4,model_asd,-0.001778825
run4,model_asd,-0.006482414
run4,model_asd,-0.000730739
run4,model_asd,-8.29E-05
run4,model_asd,-0.010064103
run4,model_asd,-0.007313781
run4,model_asd,-0.00332055
run4,model_asd,-0.002666019
run4,model_asd,0.007818937
run4,model_asd,-0.009751995
run4,model_asd,-0.004770509
run4,model_asd,-0.002598346
run4,model_asd,0.02086106
